school_name,qs_wur_2026_rank,qs_wur_2026_numeric,qs_rank_in_dataset,qs_other_qs_note,qs_source_url,program_name,year,employment_6m,employment_2yr,admission_overall_average,admit_share_80_plus,admit_share_85_plus,international_share,male_female_ratio,domestic_total_cost,international_total_cost,faculty_total_fte_est,total_funding,has_employment_target,has_any_admission_feature,has_any_school_level_feature
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Agriculture & Biological Science,2014,86.36,92.59,83.2,0,0,0.056766483,1.1726813424756406,20617.51,41152.23,589,4777028,TRUE,FALSE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Agriculture & Biological Science,2015,95.45,83.33,83.2,0,0,0.06046191,0.7787854889589905,20617.51,41152.23,589,5279593.67,TRUE,FALSE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Agriculture & Biological Science,2016,89.47,95.45,83.2,0,0,0.060055961,1.165311653116531,18915.19,34631.44,589,5466770.38,TRUE,FALSE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Agriculture & Biological Science,2017,88.46,82.76,82.4,72.19999999999999,43.95,0.064087641,0.9521604938271604,19460,39349,589,6779653.62,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Agriculture & Biological Science,2018,92,100,85.6,92.05,67.45,0.073537378,0.908174692,20617.51,41152.23,589,6170474,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Agriculture & Biological Science,2019,92,95.83,81.7,65.05,41.75,0.087959343,0.6210244082840237,20683.93,41152.23,589,7190892,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Agriculture & Biological Science,2020,85.71,95.24,83.2,68.3,41.900000000000006,0.096124745,0.7138567138567138,20617.51,42413.71,589,7855346.85,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Agriculture & Biological Science,2021,84.62,87.5,84.25,118.1,59.3,0.091523179,0.5639181847235539,21684.18,44874.63,589,13492011.94,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Business & Commerce,2014,91.03,94.94,84.6,81.4,49.5,0.056766483,1.608394114734594,20617.51,41152.23,589,4777028,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Business & Commerce,2015,93.83,96.45,83.7,79.3,42.6,0.06046191,1.7457435488161743,20617.51,41152.23,589,5279593.67,TRUE,TRUE,TRUE
